#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_ncdm[1]         23:theta_ncdm[1]         24:shear_ncdm[1]         25:cs2_ncdm[1]        
       1.478491369809e-01       3.193020627828e-07      -1.201860619759e+00       4.440788225536e-04       3.550710405002e-11       8.876776012506e-11       3.992423589968e-19       1.775355202501e-11      -9.013954648190e-01       4.440788225536e-04       6.010729609517e-01       6.995457920663e-01      -1.201860619733e+00       4.440745044325e-04       8.757597129052e-06      -9.013954648588e-01       4.440877966146e-04      -7.292316235052e-05      -1.330589119063e-08       8.766629441055e-06       3.333333330212e-01      -7.289601816966e-05      -1.330907816056e-08       8.756422795498e-06       3.328030127738e-01 
       1.493739746367e-01       3.225960772236e-07      -1.201870293994e+00       4.486604190439e-04       3.661741025222e-11       9.154352563056e-11       4.202654631151e-19       1.830870512611e-11      -9.014027204955e-01       4.486604190439e-04       6.010721172110e-01       6.995436003879e-01      -1.201870293960e+00       4.486559659213e-04       8.939098717123e-06      -9.014027205492e-01       4.486696736007e-04      -7.443470280462e-05      -1.372181708392e-08       8.948318267278e-06       3.333333330147e-01      -7.440575687248e-05      -1.372428816240e-08       8.937603800345e-06       3.327920238246e-01 
       1.508988122926e-01       3.258901101091e-07      -1.201879747341e+00       4.532419564447e-04       3.775062394518e-11       9.437655986295e-11       4.421650460784e-19       1.887531197259e-11      -9.014098105059e-01       4.532419564447e-04       6.010713003666e-01       6.995414662602e-01      -1.201879747298e+00       4.532373655364e-04       9.122463170388e-06      -9.014098105739e-01       4.532514972806e-04      -7.596175014912e-05      -1.414631920804e-08       9.131871790820e-06       3.333333330082e-01      -7.593093307701e-05      -1.414804078956e-08       9.120632082485e-06       3.327809224221e-01 
       1.524236499485e-01       3.291841614401e-07      -1.201889039290e+00       4.578234559472e-04       3.890698080632e-11       9.726745201579e-11       4.649682568246e-19       1.945349040316e-11      -9.014167794675e-01       4.578234559472e-04       6.010704984162e-01       6.995393748109e-01      -1.201889039237e+00       4.578187244403e-04       9.307690466206e-06      -9.014167795502e-01       4.578332889043e-04      -7.750430563819e-05      -1.457948539370e-08       9.317290170441e-06       3.333333330016e-01      -7.747154648816e-05      -1.458042275718e-08       9.305507426958e-06       3.327697085769e-01 
       1.539484876043e-01       3.324782312175e-07      -1.201898131548e+00       4.624048995060e-04       4.008671325559e-11       1.002167831390e-10       4.887027605023e-19       2.004335662780e-11      -9.014235986613e-01       4.624048995060e-04       6.010697211734e-01       6.995373356127e-01      -1.201898131486e+00       4.624000245594e-04       9.494780581287e-06      -9.014235987593e-01       4.624150304856e-04      -7.906236757389e-05      -1.502140292045e-08       9.504573209093e-06       3.333333329949e-01      -7.902759384907e-05      -1.502152020607e-08       9.492229259931e-06       3.327583822996e-01 
       1.554733252602e-01       3.357723194419e-07      -1.201907068999e+00       4.669863030049e-04       4.129005658963e-11       1.032251414741e-10       5.133968164418e-19       2.064502829481e-11      -9.014303017491e-01       4.669863030049e-04       6.010689597477e-01       6.995353374452e-01      -1.201907068926e+00       4.669812817489e-04       9.683733494382e-06      -9.014303018628e-01       4.669967379673e-04      -8.063593685288e-05      -1.547215955110e-08       9.693721022279e-06       3.333333329882e-01      -8.059907447759e-05      -1.547141973625e-08       9.680797315741e-06       3.327469436010e-01 
       1.595158091653e-01       3.445053374925e-07      -1.201929980760e+00       4.791317975771e-04       4.459625172895e-11       1.114906293224e-10       5.837248467764e-19       2.229812586447e-11      -9.014474855697e-01       4.791317975771e-04       6.010670331720e-01       6.995302469496e-01      -1.201929980658e+00       4.791263743397e-04       1.019368011508e-05      -9.014474857272e-01       4.791430677140e-04      -8.488265871135e-05      -1.671059139042e-08       1.020419355518e-05       3.333333329700e-01      -8.483988864607e-05      -1.670739116835e-08       1.018964017744e-05       3.327160745640e-01 
       1.635582930705e-01       3.532384852146e-07      -1.201951909669e+00       4.912769992287e-04       4.807439354192e-11       1.201859838548e-10       6.615577379651e-19       2.403719677096e-11      -9.014639322517e-01       4.912769992287e-04       6.010652198714e-01       6.995254185326e-01      -1.201951909538e+00       4.912711531109e-04       1.071671848489e-05      -9.014639324565e-01       4.912891479444e-04      -8.923836217837e-05      -1.801339298926e-08       1.072777142276e-05       3.333333329513e-01      -8.918912239548e-05      -1.800744079151e-08       1.071144797636e-05       3.326844156833e-01 
       1.676007769756e-01       3.619717626229e-07      -1.201972925866e+00       5.034219018714e-04       5.172884087871e-11       1.293221021968e-10       7.474808038752e-19       2.586442043935e-11      -9.014796943994e-01       5.034219018714e-04       6.010635195722e-01       6.995208346591e-01      -1.201972925702e+00       5.034156114439e-04       1.125284826476e-05      -9.014796946552e-01       5.034349736694e-04      -9.370304174021e-05      -1.938219516346e-08       1.126445409618e-05       3.333333329322e-01      -9.364673930873e-05      -1.937317525804e-08       1.124621270387e-05       3.326519671744e-01 
       1.716432608807e-01       3.707051697318e-07      -1.201993181155e+00       5.155665399391e-04       5.556395687985e-11       1.389098921996e-10       8.421091041760e-19       2.778197843993e-11      -9.014948858663e-01       5.155665399391e-04       6.010619116806e-01       6.995164573775e-01      -1.201993180956e+00       5.155597832423e-04       1.180206910848e-05      -9.014948861769e-01       5.155805804220e-04      -9.827669537322e-05      -2.081862936521e-08       1.181424144681e-05       3.333333329126e-01      -9.821270571461e-05      -2.080620059988e-08       1.179392656531e-05       3.326187292600e-01 
